LocationAbbr,"Deaths per 100,000",Gender,Race/Ethnicity
NC,82.6,Overall,Hispanic
NC,88.8,Overall,Hispanic
NC,253.3,Overall,Hispanic
NC,68.3,Overall,Hispanic
NC,89.6,Overall,Hispanic
NC,93.5,Overall,Hispanic
NC,174.4,Overall,Hispanic
NC,107.0,Overall,Hispanic
NC,75.1,Overall,Hispanic
NC,12.9,Overall,Hispanic
NC,96.1,Overall,Hispanic
NC,66.1,Overall,Hispanic
NC,102.5,Overall,Hispanic
NC,66.9,Overall,Hispanic
NC,93.0,Overall,Hispanic
NC,117.1,Overall,Hispanic
NC,167.5,Overall,Hispanic
NC,85.2,Overall,Hispanic
NC,83.5,Overall,Hispanic
NC,169.1,Overall,Hispanic
NC,59.4,Overall,Hispanic
NC,84.0,Overall,Hispanic
NC,95.3,Overall,Hispanic
NC,100.8,Overall,Hispanic
NC,61.9,Overall,Hispanic
NC,72.0,Overall,Hispanic
NC,64.0,Overall,Hispanic
NC,93.4,Overall,Hispanic
NC,136.9,Overall,Hispanic
NC,92.6,Overall,Hispanic
NC,115.7,Overall,Hispanic
NC,100.0,Overall,Hispanic
NC,109.7,Overall,Hispanic
NC,95.3,Overall,Hispanic
NC,141.8,Overall,Hispanic
NC,156.5,Overall,Hispanic
NC,162.0,Overall,Hispanic
NC,133.4,Overall,Hispanic
NC,73.3,Overall,Hispanic
NJ,390.3,Overall,Black
NC,96.4,Overall,Hispanic
NC,132.3,Overall,Hispanic
NC,38.7,Overall,Hispanic
NC,84.1,Overall,Hispanic
NC,128.5,Overall,Hispanic
NC,120.9,Overall,Hispanic
NC,58.0,Overall,Hispanic
NC,59.4,Overall,Hispanic
NC,4.4,Overall,Hispanic
NC,106.4,Overall,Hispanic
NC,130.2,Overall,Hispanic
NC,77.2,Overall,Hispanic
NC,100.4,Overall,Hispanic
NC,94.9,Overall,Hispanic
NC,110.1,Overall,Hispanic
NC,160.1,Overall,Hispanic
NC,72.7,Overall,Hispanic
NC,91.7,Overall,Hispanic
NC,57.0,Overall,Hispanic
NC,97.5,Overall,Hispanic
NC,102.2,Overall,Hispanic
NC,131.9,Overall,Hispanic
NC,124.6,Overall,Hispanic
NC,95.7,Overall,Hispanic
NC,138.0,Overall,Hispanic
NC,98.0,Overall,Hispanic
NC,81.6,Overall,Hispanic
NC,241.5,Overall,Hispanic
NC,91.2,Overall,Hispanic
NC,139.5,Overall,Asian and Pacific Islander
NC,202.5,Overall,Asian and Pacific Islander
NC,150.2,Overall,Asian and Pacific Islander
NC,282.8,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,122.5,Overall,Asian and Pacific Islander
NC,134.6,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,109.1,Overall,Asian and Pacific Islander
NC,85.7,Overall,Asian and Pacific Islander
NC,182.1,Overall,Asian and Pacific Islander
NC,253.7,Overall,Asian and Pacific Islander
NC,145.4,Overall,Asian and Pacific Islander
NC,111.0,Overall,Asian and Pacific Islander
NC,181.1,Overall,Asian and Pacific Islander
NC,174.1,Overall,Asian and Pacific Islander
NC,87.2,Overall,Asian and Pacific Islander
NC,168.2,Overall,Asian and Pacific Islander
NC,101.1,Overall,Asian and Pacific Islander
NC,132.6,Overall,Asian and Pacific Islander
NC,109.6,Overall,Asian and Pacific Islander
NC,90.0,Overall,Asian and Pacific Islander
NC,84.7,Overall,Asian and Pacific Islander
NC,92.9,Overall,Asian and Pacific Islander
NC,416.4,Overall,Asian and Pacific Islander
NC,115.4,Overall,Asian and Pacific Islander
NC,173.5,Overall,Asian and Pacific Islander
NC,157.3,Overall,Asian and Pacific Islander
NC,208.8,Overall,Asian and Pacific Islander
NC,51.3,Overall,Asian and Pacific Islander
NC,96.2,Overall,Asian and Pacific Islander
NC,100.6,Overall,Asian and Pacific Islander
NC,132.7,Overall,Asian and Pacific Islander
NC,94.9,Overall,Asian and Pacific Islander
NC,155.0,Overall,Asian and Pacific Islander
NC,111.5,Overall,Asian and Pacific Islander
NC,216.0,Overall,Asian and Pacific Islander
NC,216.3,Overall,Asian and Pacific Islander
NC,105.3,Overall,Asian and Pacific Islander
NC,171.7,Overall,Asian and Pacific Islander
NC,155.9,Overall,Asian and Pacific Islander
NC,144.2,Overall,Asian and Pacific Islander
NC,214.3,Overall,Asian and Pacific Islander
NC,122.5,Overall,Asian and Pacific Islander
NC,188.3,Overall,Asian and Pacific Islander
NC,96.1,Overall,Asian and Pacific Islander
NC,168.9,Overall,Asian and Pacific Islander
NC,105.8,Overall,Asian and Pacific Islander
NC,15.8,Overall,Asian and Pacific Islander
NC,158.5,Overall,Asian and Pacific Islander
NC,139.5,Overall,Asian and Pacific Islander
NC,202.5,Overall,Asian and Pacific Islander
NC,150.2,Overall,Asian and Pacific Islander
NC,282.8,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,122.5,Overall,Asian and Pacific Islander
NC,134.6,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,109.1,Overall,Asian and Pacific Islander
NC,85.7,Overall,Asian and Pacific Islander
NC,182.1,Overall,Asian and Pacific Islander
NC,253.7,Overall,Asian and Pacific Islander
NC,145.4,Overall,Asian and Pacific Islander
NC,111.0,Overall,Asian and Pacific Islander
NC,181.1,Overall,Asian and Pacific Islander
NC,174.1,Overall,Asian and Pacific Islander
NC,87.2,Overall,Asian and Pacific Islander
NC,168.2,Overall,Asian and Pacific Islander
NC,101.1,Overall,Asian and Pacific Islander
NC,132.6,Overall,Asian and Pacific Islander
NC,109.6,Overall,Asian and Pacific Islander
NC,90.0,Overall,Asian and Pacific Islander
NC,84.7,Overall,Asian and Pacific Islander
NC,92.9,Overall,Asian and Pacific Islander
NC,416.4,Overall,Asian and Pacific Islander
NC,115.4,Overall,Asian and Pacific Islander
NC,173.5,Overall,Asian and Pacific Islander
NC,157.3,Overall,Asian and Pacific Islander
NC,208.8,Overall,Asian and Pacific Islander
NC,51.3,Overall,Asian and Pacific Islander
NC,96.2,Overall,Asian and Pacific Islander
NC,100.6,Overall,Asian and Pacific Islander
NC,132.7,Overall,Asian and Pacific Islander
NC,94.9,Overall,Asian and Pacific Islander
NC,155.0,Overall,Asian and Pacific Islander
NC,111.5,Overall,Asian and Pacific Islander
NC,216.0,Overall,Asian and Pacific Islander
NC,216.3,Overall,Asian and Pacific Islander
NC,105.3,Overall,Asian and Pacific Islander
NC,171.7,Overall,Asian and Pacific Islander
NC,155.9,Overall,Asian and Pacific Islander
NC,144.2,Overall,Asian and Pacific Islander
NC,214.3,Overall,Asian and Pacific Islander
NC,122.5,Overall,Asian and Pacific Islander
NC,188.3,Overall,Asian and Pacific Islander
NC,96.1,Overall,Asian and Pacific Islander
NC,168.9,Overall,Asian and Pacific Islander
NC,105.8,Overall,Asian and Pacific Islander
NC,15.8,Overall,Asian and Pacific Islander
NC,158.5,Overall,Asian and Pacific Islander
NC,139.5,Overall,Asian and Pacific Islander
NC,202.5,Overall,Asian and Pacific Islander
NC,150.2,Overall,Asian and Pacific Islander
NC,282.8,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,122.5,Overall,Asian and Pacific Islander
NC,134.6,Overall,Asian and Pacific Islander
NC,133.2,Overall,Asian and Pacific Islander
NC,109.1,Overall,Asian and Pacific Islander
NC,85.7,Overall,Asian and Pacific Islander
NC,182.1,Overall,Asian and Pacific Islander
NC,253.7,Overall,Asian and Pacific Islander
NC,145.4,Overall,Asian and Pacific Islander
NC,111.0,Overall,Asian and Pacific Islander
NC,181.1,Overall,Asian and Pacific Islander
NC,174.1,Overall,Asian and Pacific Islander
NC,87.2,Overall,Asian and Pacific Islander
NC,168.2,Overall,Asian and Pacific Islander
NC,101.1,Overall,Asian and Pacific Islander
NC,132.6,Overall,Asian and Pacific Islander
NC,109.6,Overall,Asian and Pacific Islander
NC,90.0,Overall,Asian and Pacific Islander
NC,84.7,Overall,Asian and Pacific Islander
NC,92.9,Overall,Asian and Pacific Islander
NC,416.4,Overall,Asian and Pacific Islander
NC,115.4,Overall,Asian and Pacific Islander
NC,173.5,Overall,Asian and Pacific Islander
NC,157.3,Overall,Asian and Pacific Islander
NC,208.8,Overall,Asian and Pacific Islander
NC,51.3,Overall,Asian and Pacific Islander
NC,96.2,Overall,Asian and Pacific Islander
NC,100.6,Overall,Asian and Pacific Islander
NC,132.7,Overall,Asian and Pacific Islander
NC,94.9,Overall,Asian and Pacific Islander
NC,155.0,Overall,Asian and Pacific Islander
NC,111.5,Overall,Asian and Pacific Islander
NC,216.0,Overall,Asian and Pacific Islander
NC,216.3,Overall,Asian and Pacific Islander
NC,105.3,Overall,Asian and Pacific Islander
NC,171.7,Overall,Asian and Pacific Islander
NC,155.9,Overall,Asian and Pacific Islander
NC,144.2,Overall,Asian and Pacific Islander
NC,214.3,Overall,Asian and Pacific Islander
