LocationAbbr,"Deaths per 100,000",Gender,Race/Ethnicity
NJ,321.8,Overall,Black
NJ,402.3,Overall,Black
NJ,487.2,Overall,Black
NJ,474.0,Overall,Black
NJ,423.2,Overall,Black
NJ,433.7,Overall,Black
NJ,426.4,Overall,Black
NJ,279.0,Overall,Black
NJ,432.3,Overall,Black
NJ,332.6,Overall,Black
NJ,364.2,Overall,Black
NJ,333.9,Overall,Black
NJ,441.2,Overall,Black
NJ,425.7,Overall,Black
NJ,439.3,Overall,Black
NJ,275.8,Overall,Black
NJ,389.6,Overall,Black
NJ,342.8,Overall,Black
NJ,275.8,Overall,Black
NJ,236.3,Overall,Hispanic
NJ,160.1,Overall,Hispanic
NJ,171.3,Overall,Hispanic
NJ,197.4,Overall,Hispanic
NJ,234.1,Overall,Hispanic
NJ,220.8,Overall,Hispanic
NJ,225.5,Overall,Hispanic
NJ,194.7,Overall,Hispanic
NJ,228.8,Overall,Hispanic
NJ,156.3,Overall,Hispanic
NJ,203.6,Overall,Hispanic
NJ,208.1,Overall,Hispanic
NJ,213.2,Overall,Hispanic
NJ,198.2,Overall,Hispanic
NJ,246.5,Overall,Hispanic
NJ,188.6,Overall,Hispanic
