County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Wibaux,MT,5293.00,17395.00,11344.00
Yellowstone,MT,17395.00,18752.00,18074.00
Adams,ND,5293.00,17395.00,11344.00
Barnes,ND,5293.00,17395.00,11344.00
Benson,ND,18752.00,20004.00,19378.00
Billings,ND,5293.00,17395.00,11344.00
Bottineau,ND,5293.00,17395.00,11344.00
Bowman,ND,18752.00,20004.00,19378.00
Burke,ND,21533.00,36976.00,29255.00
Burleigh,ND,5293.00,17395.00,11344.00
Cass,ND,18752.00,20004.00,19378.00
Cavalier,ND,5293.00,17395.00,11344.00
Dickey,ND,20004.00,21533.00,20769.00
Divide,ND,20004.00,21533.00,20769.00
Dunn,ND,5293.00,17395.00,11344.00
Eddy,ND,17395.00,18752.00,18074.00
Emmons,ND,20004.00,21533.00,20769.00
Foster,ND,5293.00,17395.00,11344.00
Golden Valley,ND,5293.00,17395.00,11344.00
Grand Forks,ND,18752.00,20004.00,19378.00
Grant,ND,5293.00,17395.00,11344.00
Griggs,ND,20004.00,21533.00,20769.00
Hettinger,ND,5293.00,17395.00,11344.00
Kidder,ND,17395.00,18752.00,18074.00
LaMoure,ND,5293.00,17395.00,11344.00
Logan,ND,5293.00,17395.00,11344.00
McHenry,ND,5293.00,17395.00,11344.00
McIntosh,ND,20004.00,21533.00,20769.00
McKenzie,ND,18752.00,20004.00,19378.00
McLean,ND,5293.00,17395.00,11344.00
Mercer,ND,20004.00,21533.00,20769.00
Morton,ND,5293.00,17395.00,11344.00
Mountrail,ND,21533.00,36976.00,29255.00
Nelson,ND,5293.00,17395.00,11344.00
Oliver,ND,5293.00,17395.00,11344.00
Pembina,ND,18752.00,20004.00,19378.00
Pierce,ND,17395.00,18752.00,18074.00
Ramsey,ND,5293.00,17395.00,11344.00
Ransom,ND,18752.00,20004.00,19378.00
Renville,ND,5293.00,17395.00,11344.00
Richland,ND,18752.00,20004.00,19378.00
Rolette,ND,20004.00,21533.00,20769.00
Sargent,ND,21533.00,36976.00,29255.00
Sheridan,ND,5293.00,17395.00,11344.00
Sioux,ND,21533.00,36976.00,29255.00
Slope,ND,18752.00,20004.00,19378.00
Stark,ND,5293.00,17395.00,11344.00
Steele,ND,17395.00,18752.00,18074.00
Stutsman,ND,20004.00,21533.00,20769.00
Towner,ND,21533.00,36976.00,29255.00
Traill,ND,18752.00,20004.00,19378.00
Walsh,ND,18752.00,20004.00,19378.00
Ward,ND,5293.00,17395.00,11344.00
Wells,ND,17395.00,18752.00,18074.00
Williams,ND,20004.00,21533.00,20769.00
Baker,OR,5293.00,17395.00,11344.00
Morrow,OR,5293.00,17395.00,11344.00
Umatilla,OR,18752.00,20004.00,19378.00
Union,OR,17395.00,18752.00,18074.00
Wallowa,OR,18752.00,20004.00,19378.00
Brown,SD,17395.00,18752.00,18074.00
Butte,SD,5293.00,17395.00,11344.00
Campbell,SD,5293.00,17395.00,11344.00
Clark,SD,18752.00,20004.00,19378.00
Codington,SD,5293.00,17395.00,11344.00
Corson,SD,18752.00,20004.00,19378.00
Day,SD,17395.00,18752.00,18074.00
Deuel,SD,18752.00,20004.00,19378.00
Dewey,SD,21533.00,36976.00,29255.00
Edmunds,SD,18752.00,20004.00,19378.00
Faulk,SD,21533.00,36976.00,29255.00
Grant,SD,18752.00,20004.00,19378.00
Hamlin,SD,17395.00,18752.00,18074.00
Harding,SD,20004.00,21533.00,20769.00
McPherson,SD,5293.00,17395.00,11344.00
Marshall,SD,5293.00,17395.00,11344.00
Perkins,SD,5293.00,17395.00,11344.00
Potter,SD,18752.00,20004.00,19378.00
Roberts,SD,18752.00,20004.00,19378.00
Spink,SD,20004.00,21533.00,20769.00
Sully,SD,5293.00,17395.00,11344.00
Walworth,SD,17395.00,18752.00,18074.00
Ziebach,SD,5293.00,17395.00,11344.00
Adams,WA,20004.00,21533.00,20769.00
Asotin,WA,17395.00,18752.00,18074.00
Benton,WA,18752.00,20004.00,19378.00
Columbia,WA,21533.00,36976.00,29255.00
Douglas,WA,5293.00,17395.00,11344.00
Ferry,WA,5293.00,17395.00,11344.00
Franklin,WA,18752.00,20004.00,19378.00
Garfield,WA,17395.00,18752.00,18074.00
Grant,WA,17395.00,18752.00,18074.00
Lincoln,WA,18752.00,20004.00,19378.00
Pend Oreille,WA,5293.00,17395.00,11344.00
Spokane,WA,17395.00,18752.00,18074.00
Stevens,WA,17395.00,18752.00,18074.00
Walla Walla,WA,5293.00,17395.00,11344.00
Whitman,WA,5293.00,17395.00,11344.00
Sheridan,WY,5293.00,17395.00,11344.00
Baldwin,AL,5293.00,17395.00,11344.00
Barbour,AL,21533.00,36976.00,29255.00
Bullock,AL,21533.00,36976.00,29255.00
Butler,AL,20004.00,21533.00,20769.00
Choctaw,AL,21533.00,36976.00,29255.00
Clarke,AL,18752.00,20004.00,19378.00
Coffee,AL,17395.00,18752.00,18074.00
Conecuh,AL,18752.00,20004.00,19378.00
Covington,AL,20004.00,21533.00,20769.00
Crenshaw,AL,18752.00,20004.00,19378.00
Dale,AL,20004.00,21533.00,20769.00
Escambia,AL,20004.00,21533.00,20769.00
Geneva,AL,18752.00,20004.00,19378.00
Henry,AL,17395.00,18752.00,18074.00
Houston,AL,18752.00,20004.00,19378.00
Mobile,AL,18752.00,20004.00,19378.00
Monroe,AL,20004.00,21533.00,20769.00
Pike,AL,20004.00,21533.00,20769.00
Washington,AL,18752.00,20004.00,19378.00
Wilcox,AL,18752.00,20004.00,19378.00
Alachua,FL,20004.00,21533.00,20769.00
Baker,FL,21533.00,36976.00,29255.00
Bay,FL,20004.00,21533.00,20769.00
Bradford,FL,21533.00,36976.00,29255.00
Brevard,FL,18752.00,20004.00,19378.00
Calhoun,FL,21533.00,36976.00,29255.00
Charlotte,FL,17395.00,18752.00,18074.00
Citrus,FL,5293.00,17395.00,11344.00
Clay,FL,20004.00,21533.00,20769.00
Collier,FL,5293.00,17395.00,11344.00
Columbia,FL,21533.00,36976.00,29255.00
DeSoto,FL,18752.00,20004.00,19378.00
Dixie,FL,21533.00,36976.00,29255.00
Duval,FL,21533.00,36976.00,29255.00
Escambia,FL,20004.00,21533.00,20769.00
Flagler,FL,17395.00,18752.00,18074.00
Franklin,FL,5293.00,17395.00,11344.00
Gadsden,FL,18752.00,20004.00,19378.00
Gilchrist,FL,21533.00,36976.00,29255.00
Glades,FL,18752.00,20004.00,19378.00
Gulf,FL,18752.00,20004.00,19378.00
Hamilton,FL,20004.00,21533.00,20769.00
Hardee,FL,21533.00,36976.00,29255.00
Hendry,FL,21533.00,36976.00,29255.00
Hernando,FL,17395.00,18752.00,18074.00
Highlands,FL,20004.00,21533.00,20769.00
Hillsborough,FL,21533.00,36976.00,29255.00
Holmes,FL,18752.00,20004.00,19378.00
Indian River,FL,5293.00,17395.00,11344.00
Jackson,FL,20004.00,21533.00,20769.00
Jefferson,FL,21533.00,36976.00,29255.00
Lafayette,FL,21533.00,36976.00,29255.00
Lake,FL,17395.00,18752.00,18074.00
Lee,FL,17395.00,18752.00,18074.00
Leon,FL,18752.00,20004.00,19378.00
Levy,FL,20004.00,21533.00,20769.00
Liberty,FL,21533.00,36976.00,29255.00
Madison,FL,20004.00,21533.00,20769.00
Manatee,FL,17395.00,18752.00,18074.00
Marion,FL,17395.00,18752.00,18074.00
Monroe,FL,20004.00,21533.00,20769.00
Nassau,FL,18752.00,20004.00,19378.00
Okaloosa,FL,18752.00,20004.00,19378.00
Okeechobee,FL,21533.00,36976.00,29255.00
Orange,FL,21533.00,36976.00,29255.00
Osceola,FL,21533.00,36976.00,29255.00
Pasco,FL,20004.00,21533.00,20769.00
Pinellas,FL,21533.00,36976.00,29255.00
Polk,FL,20004.00,21533.00,20769.00
Putnam,FL,21533.00,36976.00,29255.00
St. Johns,FL,17395.00,18752.00,18074.00
Santa Rosa,FL,20004.00,21533.00,20769.00
Sarasota,FL,5293.00,17395.00,11344.00
Seminole,FL,20004.00,21533.00,20769.00
Sumter,FL,5293.00,17395.00,11344.00
Suwannee,FL,18752.00,20004.00,19378.00
Taylor,FL,17395.00,18752.00,18074.00
Union,FL,21533.00,36976.00,29255.00
Volusia,FL,18752.00,20004.00,19378.00
Wakulla,FL,18752.00,20004.00,19378.00
Walton,FL,17395.00,18752.00,18074.00
Washington,FL,20004.00,21533.00,20769.00
Appling,GA,18752.00,20004.00,19378.00
Atkinson,GA,5293.00,17395.00,11344.00
Bacon,GA,21533.00,36976.00,29255.00
Baker,GA,21533.00,36976.00,29255.00
Ben Hill,GA,18752.00,20004.00,19378.00
Berrien,GA,20004.00,21533.00,20769.00
Brantley,GA,21533.00,36976.00,29255.00
Brooks,GA,21533.00,36976.00,29255.00
Bryan,GA,5293.00,17395.00,11344.00
Calhoun,GA,21533.00,36976.00,29255.00
Camden,GA,20004.00,21533.00,20769.00
Charlton,GA,20004.00,21533.00,20769.00
Chatham,GA,20004.00,21533.00,20769.00
Clay,GA,20004.00,21533.00,20769.00
Clinch,GA,21533.00,36976.00,29255.00
Coffee,GA,20004.00,21533.00,20769.00
Colquitt,GA,20004.00,21533.00,20769.00
Cook,GA,17395.00,18752.00,18074.00
Crisp,GA,20004.00,21533.00,20769.00
Decatur,GA,17395.00,18752.00,18074.00
Dougherty,GA,21533.00,36976.00,29255.00
Early,GA,20004.00,21533.00,20769.00
Echols,GA,5293.00,17395.00,11344.00
Glynn,GA,21533.00,36976.00,29255.00
Grady,GA,17395.00,18752.00,18074.00
Irwin,GA,20004.00,21533.00,20769.00
Jeff Davis,GA,21533.00,36976.00,29255.00
Lanier,GA,21533.00,36976.00,29255.00
Lee,GA,5293.00,17395.00,11344.00
Liberty,GA,21533.00,36976.00,29255.00
Long,GA,21533.00,36976.00,29255.00
Lowndes,GA,18752.00,20004.00,19378.00
McIntosh,GA,20004.00,21533.00,20769.00
Miller,GA,21533.00,36976.00,29255.00
Mitchell,GA,18752.00,20004.00,19378.00
Pierce,GA,18752.00,20004.00,19378.00
Quitman,GA,17395.00,18752.00,18074.00
Randolph,GA,17395.00,18752.00,18074.00
Seminole,GA,18752.00,20004.00,19378.00
Stewart,GA,21533.00,36976.00,29255.00
Sumter,GA,18752.00,20004.00,19378.00
Tattnall,GA,21533.00,36976.00,29255.00
Telfair,GA,21533.00,36976.00,29255.00
Terrell,GA,17395.00,18752.00,18074.00
Thomas,GA,21533.00,36976.00,29255.00
Tift,GA,20004.00,21533.00,20769.00
Turner,GA,20004.00,21533.00,20769.00
Ware,GA,21533.00,36976.00,29255.00
Wayne,GA,20004.00,21533.00,20769.00
Webster,GA,21533.00,36976.00,29255.00
Wheeler,GA,21533.00,36976.00,29255.00
Wilcox,GA,21533.00,36976.00,29255.00
Worth,GA,21533.00,36976.00,29255.00
Acadia,LA,21533.00,36976.00,29255.00
Allen,LA,21533.00,36976.00,29255.00
Ascension,LA,20004.00,21533.00,20769.00
Assumption,LA,18752.00,20004.00,19378.00
Avoyelles,LA,21533.00,36976.00,29255.00
Beauregard,LA,20004.00,21533.00,20769.00
Calcasieu,LA,20004.00,21533.00,20769.00
Caldwell,LA,21533.00,36976.00,29255.00
Cameron,LA,17395.00,18752.00,18074.00
Catahoula,LA,21533.00,36976.00,29255.00
Concordia,LA,21533.00,36976.00,29255.00
East Baton Rouge,LA,20004.00,21533.00,20769.00
East Feliciana,LA,20004.00,21533.00,20769.00
Evangeline,LA,21533.00,36976.00,29255.00
Grant,LA,21533.00,36976.00,29255.00
Iberia,LA,20004.00,21533.00,20769.00
Iberville,LA,21533.00,36976.00,29255.00
Jefferson,LA,20004.00,21533.00,20769.00
Jefferson Davis,LA,20004.00,21533.00,20769.00
Lafayette,LA,18752.00,20004.00,19378.00
Lafourche,LA,17395.00,18752.00,18074.00
La Salle,LA,21533.00,36976.00,29255.00
Livingston,LA,20004.00,21533.00,20769.00
Natchitoches,LA,21533.00,36976.00,29255.00
Orleans,LA,21533.00,36976.00,29255.00
Plaquemines,LA,20004.00,21533.00,20769.00
Pointe Coupee,LA,20004.00,21533.00,20769.00
Rapides,LA,20004.00,21533.00,20769.00
Red River,LA,21533.00,36976.00,29255.00
Sabine,LA,21533.00,36976.00,29255.00
St. Bernard,LA,21533.00,36976.00,29255.00
St. Charles,LA,21533.00,36976.00,29255.00
St. Helena,LA,21533.00,36976.00,29255.00
St. James,LA,21533.00,36976.00,29255.00
St. John the Baptist,LA,20004.00,21533.00,20769.00
St. Landry,LA,20004.00,21533.00,20769.00
St. Martin,LA,18752.00,20004.00,19378.00
St. Mary,LA,21533.00,36976.00,29255.00
St. Tammany,LA,20004.00,21533.00,20769.00
Tangipahoa,LA,21533.00,36976.00,29255.00
Tensas,LA,20004.00,21533.00,20769.00
Terrebonne,LA,17395.00,18752.00,18074.00
Vermilion,LA,20004.00,21533.00,20769.00
Vernon,LA,21533.00,36976.00,29255.00
Washington,LA,21533.00,36976.00,29255.00
West Baton Rouge,LA,18752.00,20004.00,19378.00
West Feliciana,LA,21533.00,36976.00,29255.00
Winn,LA,21533.00,36976.00,29255.00
Adams,MS,20004.00,21533.00,20769.00
Amite,MS,17395.00,18752.00,18074.00
Claiborne,MS,21533.00,36976.00,29255.00
Clarke,MS,21533.00,36976.00,29255.00
Copiah,MS,20004.00,21533.00,20769.00
Covington,MS,21533.00,36976.00,29255.00
Forrest,MS,20004.00,21533.00,20769.00
Franklin,MS,21533.00,36976.00,29255.00
George,MS,18752.00,20004.00,19378.00
Greene,MS,21533.00,36976.00,29255.00
Hancock,MS,21533.00,36976.00,29255.00
Harrison,MS,21533.00,36976.00,29255.00
Jackson,MS,20004.00,21533.00,20769.00
Jasper,MS,21533.00,36976.00,29255.00
Jefferson,MS,21533.00,36976.00,29255.00
Jefferson Davis,MS,21533.00,36976.00,29255.00
Jones,MS,20004.00,21533.00,20769.00
Lamar,MS,17395.00,18752.00,18074.00
Lawrence,MS,20004.00,21533.00,20769.00
Lincoln,MS,17395.00,18752.00,18074.00
Marion,MS,20004.00,21533.00,20769.00
Pearl River,MS,20004.00,21533.00,20769.00
Perry,MS,20004.00,21533.00,20769.00
Pike,MS,20004.00,21533.00,20769.00
Simpson,MS,21533.00,36976.00,29255.00
Smith,MS,21533.00,36976.00,29255.00
Stone,MS,21533.00,36976.00,29255.00
Walthall,MS,21533.00,36976.00,29255.00
Wayne,MS,20004.00,21533.00,20769.00
Wilkinson,MS,18752.00,20004.00,19378.00
Bibb,AL,21533.00,36976.00,29255.00
Colbert,AL,18752.00,20004.00,19378.00
Fayette,AL,20004.00,21533.00,20769.00
Franklin,AL,20004.00,21533.00,20769.00
Greene,AL,21533.00,36976.00,29255.00
Hale,AL,21533.00,36976.00,29255.00
Lamar,AL,18752.00,20004.00,19378.00
Lauderdale,AL,5293.00,17395.00,11344.00
Lawrence,AL,17395.00,18752.00,18074.00
Marengo,AL,18752.00,20004.00,19378.00
Marion,AL,18752.00,20004.00,19378.00
Perry,AL,20004.00,21533.00,20769.00
Pickens,AL,18752.00,20004.00,19378.00
Sumter,AL,20004.00,21533.00,20769.00
Tuscaloosa,AL,21533.00,36976.00,29255.00
Walker,AL,17395.00,18752.00,18074.00
Winston,AL,18752.00,20004.00,19378.00
Arkansas,AR,5293.00,17395.00,11344.00
Ashley,AR,20004.00,21533.00,20769.00
Baxter,AR,17395.00,18752.00,18074.00
Boone,AR,17395.00,18752.00,18074.00
Bradley,AR,20004.00,21533.00,20769.00
Calhoun,AR,5293.00,17395.00,11344.00
Carroll,AR,20004.00,21533.00,20769.00
Chicot,AR,18752.00,20004.00,19378.00
Clark,AR,5293.00,17395.00,11344.00
Clay,AR,21533.00,36976.00,29255.00
Cleburne,AR,5293.00,17395.00,11344.00
Cleveland,AR,20004.00,21533.00,20769.00
Columbia,AR,18752.00,20004.00,19378.00
Conway,AR,18752.00,20004.00,19378.00
Craighead,AR,18752.00,20004.00,19378.00
Crittenden,AR,21533.00,36976.00,29255.00
Cross,AR,17395.00,18752.00,18074.00
Dallas,AR,18752.00,20004.00,19378.00
Desha,AR,20004.00,21533.00,20769.00
Drew,AR,20004.00,21533.00,20769.00
Faulkner,AR,17395.00,18752.00,18074.00
Fulton,AR,20004.00,21533.00,20769.00
Garland,AR,17395.00,18752.00,18074.00
Grant,AR,17395.00,18752.00,18074.00
Greene,AR,21533.00,36976.00,29255.00
Hot Spring,AR,17395.00,18752.00,18074.00
Independence,AR,18752.00,20004.00,19378.00
Izard,AR,21533.00,36976.00,29255.00
Jackson,AR,21533.00,36976.00,29255.00
Jefferson,AR,17395.00,18752.00,18074.00
Johnson,AR,17395.00,18752.00,18074.00
Lafayette,AR,21533.00,36976.00,29255.00
Lawrence,AR,20004.00,21533.00,20769.00
Lee,AR,20004.00,21533.00,20769.00
Lincoln,AR,17395.00,18752.00,18074.00
Lonoke,AR,17395.00,18752.00,18074.00
Marion,AR,18752.00,20004.00,19378.00
Mississippi,AR,21533.00,36976.00,29255.00
Monroe,AR,17395.00,18752.00,18074.00
Montgomery,AR,17395.00,18752.00,18074.00
Nevada,AR,18752.00,20004.00,19378.00
Newton,AR,17395.00,18752.00,18074.00
Ouachita,AR,17395.00,18752.00,18074.00
Perry,AR,5293.00,17395.00,11344.00
Phillips,AR,17395.00,18752.00,18074.00
Pike,AR,17395.00,18752.00,18074.00
Poinsett,AR,21533.00,36976.00,29255.00
Pope,AR,17395.00,18752.00,18074.00
Prairie,AR,18752.00,20004.00,19378.00
Pulaski,AR,17395.00,18752.00,18074.00
Randolph,AR,20004.00,21533.00,20769.00
St. Francis,AR,17395.00,18752.00,18074.00
Saline,AR,17395.00,18752.00,18074.00
Searcy,AR,20004.00,21533.00,20769.00
Sharp,AR,21533.00,36976.00,29255.00
Stone,AR,17395.00,18752.00,18074.00
Union,AR,18752.00,20004.00,19378.00
Van Buren,AR,17395.00,18752.00,18074.00
White,AR,17395.00,18752.00,18074.00
Woodruff,AR,18752.00,20004.00,19378.00
Yell,AR,20004.00,21533.00,20769.00
Alexander,IL,21533.00,36976.00,29255.00
Franklin,IL,20004.00,21533.00,20769.00
Gallatin,IL,20004.00,21533.00,20769.00
Hamilton,IL,20004.00,21533.00,20769.00
Hardin,IL,21533.00,36976.00,29255.00
Jackson,IL,21533.00,36976.00,29255.00
Jefferson,IL,18752.00,20004.00,19378.00
Johnson,IL,21533.00,36976.00,29255.00
Massac,IL,20004.00,21533.00,20769.00
Monroe,IL,18752.00,20004.00,19378.00
Perry,IL,21533.00,36976.00,29255.00
Pope,IL,5293.00,17395.00,11344.00
Pulaski,IL,20004.00,21533.00,20769.00
Randolph,IL,20004.00,21533.00,20769.00
Saline,IL,20004.00,21533.00,20769.00
Union,IL,21533.00,36976.00,29255.00
Washington,IL,18752.00,20004.00,19378.00
White,IL,21533.00,36976.00,29255.00
Williamson,IL,20004.00,21533.00,20769.00
Gibson,IN,21533.00,36976.00,29255.00
Posey,IN,18752.00,20004.00,19378.00
Vanderburgh,IN,21533.00,36976.00,29255.00
Warrick,IN,20004.00,21533.00,20769.00
Ballard,KY,5293.00,17395.00,11344.00
Caldwell,KY,18752.00,20004.00,19378.00
Calloway,KY,18752.00,20004.00,19378.00
Carlisle,KY,17395.00,18752.00,18074.00
Christian,KY,18752.00,20004.00,19378.00
Crittenden,KY,21533.00,36976.00,29255.00
Fulton,KY,21533.00,36976.00,29255.00
Graves,KY,20004.00,21533.00,20769.00
Henderson,KY,20004.00,21533.00,20769.00
Hickman,KY,21533.00,36976.00,29255.00
Hopkins,KY,18752.00,20004.00,19378.00
Livingston,KY,21533.00,36976.00,29255.00
Lyon,KY,20004.00,21533.00,20769.00
McCracken,KY,17395.00,18752.00,18074.00
McLean,KY,17395.00,18752.00,18074.00
Marshall,KY,18752.00,20004.00,19378.00
Todd,KY,18752.00,20004.00,19378.00
Trigg,KY,20004.00,21533.00,20769.00
Union,KY,21533.00,36976.00,29255.00
Webster,KY,18752.00,20004.00,19378.00
Bienville,LA,21533.00,36976.00,29255.00
Bossier,LA,21533.00,36976.00,29255.00
Claiborne,LA,21533.00,36976.00,29255.00
East Carroll,LA,21533.00,36976.00,29255.00
Franklin,LA,21533.00,36976.00,29255.00
Jackson,LA,21533.00,36976.00,29255.00
Lincoln,LA,21533.00,36976.00,29255.00
Madison,LA,21533.00,36976.00,29255.00
Morehouse,LA,21533.00,36976.00,29255.00
Ouachita,LA,21533.00,36976.00,29255.00
Richland,LA,21533.00,36976.00,29255.00
Union,LA,21533.00,36976.00,29255.00
Webster,LA,21533.00,36976.00,29255.00
West Carroll,LA,21533.00,36976.00,29255.00
Alcorn,MS,20004.00,21533.00,20769.00
Attala,MS,20004.00,21533.00,20769.00
Benton,MS,20004.00,21533.00,20769.00
Bolivar,MS,21533.00,36976.00,29255.00
Calhoun,MS,20004.00,21533.00,20769.00
Carroll,MS,20004.00,21533.00,20769.00
Chickasaw,MS,21533.00,36976.00,29255.00
Choctaw,MS,21533.00,36976.00,29255.00
Clay,MS,18752.00,20004.00,19378.00
Coahoma,MS,21533.00,36976.00,29255.00
DeSoto,MS,18752.00,20004.00,19378.00
Grenada,MS,21533.00,36976.00,29255.00
Hinds,MS,21533.00,36976.00,29255.00
Holmes,MS,21533.00,36976.00,29255.00
Humphreys,MS,17395.00,18752.00,18074.00
Issaquena,MS,5293.00,17395.00,11344.00
Itawamba,MS,20004.00,21533.00,20769.00
Kemper,MS,21533.00,36976.00,29255.00
Lafayette,MS,17395.00,18752.00,18074.00
Lauderdale,MS,21533.00,36976.00,29255.00
Leake,MS,21533.00,36976.00,29255.00
Lee,MS,18752.00,20004.00,19378.00
Leflore,MS,20004.00,21533.00,20769.00
Lowndes,MS,18752.00,20004.00,19378.00
Madison,MS,17395.00,18752.00,18074.00
Marshall,MS,20004.00,21533.00,20769.00
Monroe,MS,21533.00,36976.00,29255.00
Montgomery,MS,21533.00,36976.00,29255.00
Neshoba,MS,21533.00,36976.00,29255.00
Newton,MS,21533.00,36976.00,29255.00
Noxubee,MS,20004.00,21533.00,20769.00
Oktibbeha,MS,20004.00,21533.00,20769.00
Panola,MS,21533.00,36976.00,29255.00
Pontotoc,MS,20004.00,21533.00,20769.00
Prentiss,MS,20004.00,21533.00,20769.00
Quitman,MS,18752.00,20004.00,19378.00
Rankin,MS,20004.00,21533.00,20769.00
Scott,MS,21533.00,36976.00,29255.00
Sharkey,MS,21533.00,36976.00,29255.00
Sunflower,MS,21533.00,36976.00,29255.00
Tallahatchie,MS,21533.00,36976.00,29255.00
Tate,MS,17395.00,18752.00,18074.00
Tippah,MS,20004.00,21533.00,20769.00
Tishomingo,MS,20004.00,21533.00,20769.00
Tunica,MS,21533.00,36976.00,29255.00
Union,MS,18752.00,20004.00,19378.00
Warren,MS,21533.00,36976.00,29255.00
Washington,MS,20004.00,21533.00,20769.00
Webster,MS,21533.00,36976.00,29255.00
Winston,MS,20004.00,21533.00,20769.00
Yalobusha,MS,21533.00,36976.00,29255.00
Yazoo,MS,21533.00,36976.00,29255.00
Benton,MO,17395.00,18752.00,18074.00
Bollinger,MO,20004.00,21533.00,20769.00
Butler,MO,18752.00,20004.00,19378.00
Camden,MO,5293.00,17395.00,11344.00
Cape Girardeau,MO,18752.00,20004.00,19378.00
Carter,MO,5293.00,17395.00,11344.00
Christian,MO,5293.00,17395.00,11344.00
Crawford,MO,18752.00,20004.00,19378.00
Dallas,MO,18752.00,20004.00,19378.00
Dent,MO,18752.00,20004.00,19378.00
Douglas,MO,17395.00,18752.00,18074.00
Dunklin,MO,18752.00,20004.00,19378.00
Greene,MO,18752.00,20004.00,19378.00
Hickory,MO,18752.00,20004.00,19378.00
Howell,MO,5293.00,17395.00,11344.00
Iron,MO,21533.00,36976.00,29255.00
Jefferson,MO,20004.00,21533.00,20769.00
Laclede,MO,18752.00,20004.00,19378.00
Madison,MO,17395.00,18752.00,18074.00
Maries,MO,5293.00,17395.00,11344.00
Miller,MO,5293.00,17395.00,11344.00
Mississippi,MO,17395.00,18752.00,18074.00
New Madrid,MO,20004.00,21533.00,20769.00
Oregon,MO,5293.00,17395.00,11344.00
Ozark,MO,5293.00,17395.00,11344.00
Pemiscot,MO,20004.00,21533.00,20769.00
Perry,MO,21533.00,36976.00,29255.00
Phelps,MO,20004.00,21533.00,20769.00
Polk,MO,20004.00,21533.00,20769.00
Pulaski,MO,18752.00,20004.00,19378.00
Reynolds,MO,18752.00,20004.00,19378.00
Ripley,MO,5293.00,17395.00,11344.00
Ste. Genevieve,MO,21533.00,36976.00,29255.00
St. Francois,MO,20004.00,21533.00,20769.00
Scott,MO,18752.00,20004.00,19378.00
Shannon,MO,5293.00,17395.00,11344.00
Stoddard,MO,18752.00,20004.00,19378.00
Stone,MO,5293.00,17395.00,11344.00
Taney,MO,17395.00,18752.00,18074.00
Texas,MO,18752.00,20004.00,19378.00
Washington,MO,20004.00,21533.00,20769.00
Wayne,MO,5293.00,17395.00,11344.00
Webster,MO,18752.00,20004.00,19378.00
Wright,MO,20004.00,21533.00,20769.00
Benton,TN,20004.00,21533.00,20769.00
Carroll,TN,20004.00,21533.00,20769.00
Chester,TN,18752.00,20004.00,19378.00
Crockett,TN,18752.00,20004.00,19378.00
Decatur,TN,17395.00,18752.00,18074.00
Dickson,TN,20004.00,21533.00,20769.00
Dyer,TN,20004.00,21533.00,20769.00
Fayette,TN,17395.00,18752.00,18074.00
Gibson,TN,20004.00,21533.00,20769.00
Hardeman,TN,18752.00,20004.00,19378.00
Hardin,TN,20004.00,21533.00,20769.00
Haywood,TN,18752.00,20004.00,19378.00
Henderson,TN,18752.00,20004.00,19378.00
Henry,TN,18752.00,20004.00,19378.00
Hickman,TN,20004.00,21533.00,20769.00
Houston,TN,20004.00,21533.00,20769.00
Humphreys,TN,20004.00,21533.00,20769.00
Lake,TN,21533.00,36976.00,29255.00
Lauderdale,TN,21533.00,36976.00,29255.00
Lawrence,TN,18752.00,20004.00,19378.00
Lewis,TN,18752.00,20004.00,19378.00
McNairy,TN,18752.00,20004.00,19378.00
Madison,TN,18752.00,20004.00,19378.00
Montgomery,TN,17395.00,18752.00,18074.00
Obion,TN,21533.00,36976.00,29255.00
Perry,TN,18752.00,20004.00,19378.00
Shelby,TN,20004.00,21533.00,20769.00
Stewart,TN,18752.00,20004.00,19378.00
Tipton,TN,20004.00,21533.00,20769.00
Wayne,TN,21533.00,36976.00,29255.00
Weakley,TN,20004.00,21533.00,20769.00
Adams,IL,18752.00,20004.00,19378.00
Bond,IL,5293.00,17395.00,11344.00
Boone,IL,20004.00,21533.00,20769.00
Brown,IL,18752.00,20004.00,19378.00
Bureau,IL,18752.00,20004.00,19378.00
Calhoun,IL,17395.00,18752.00,18074.00
Carroll,IL,17395.00,18752.00,18074.00
Cass,IL,18752.00,20004.00,19378.00
Champaign,IL,20004.00,21533.00,20769.00
Christian,IL,20004.00,21533.00,20769.00
Clark,IL,18752.00,20004.00,19378.00
Clay,IL,20004.00,21533.00,20769.00
Clinton,IL,17395.00,18752.00,18074.00
Coles,IL,20004.00,21533.00,20769.00
Cook,IL,21533.00,36976.00,29255.00
Crawford,IL,18752.00,20004.00,19378.00
Cumberland,IL,17395.00,18752.00,18074.00
DeKalb,IL,21533.00,36976.00,29255.00
De Witt,IL,18752.00,20004.00,19378.00
Douglas,IL,20004.00,21533.00,20769.00
DuPage,IL,18752.00,20004.00,19378.00
Edgar,IL,18752.00,20004.00,19378.00
Edwards,IL,18752.00,20004.00,19378.00
Effingham,IL,18752.00,20004.00,19378.00
Fayette,IL,18752.00,20004.00,19378.00
Ford,IL,21533.00,36976.00,29255.00
Fulton,IL,17395.00,18752.00,18074.00
Greene,IL,18752.00,20004.00,19378.00
Grundy,IL,21533.00,36976.00,29255.00
Hancock,IL,18752.00,20004.00,19378.00
