County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Lancaster,NE,17395.00,18752.00,18074.00
Lincoln,NE,20004.00,21533.00,20769.00
Logan,NE,5293.00,17395.00,11344.00
Loup,NE,5293.00,17395.00,11344.00
McPherson,NE,5293.00,17395.00,11344.00
Madison,NE,17395.00,18752.00,18074.00
Merrick,NE,17395.00,18752.00,18074.00
Morrill,NE,21533.00,36976.00,29255.00
Nance,NE,20004.00,21533.00,20769.00
Nemaha,NE,21533.00,36976.00,29255.00
Nuckolls,NE,21533.00,36976.00,29255.00
Otoe,NE,21533.00,36976.00,29255.00
Pawnee,NE,5293.00,17395.00,11344.00
Perkins,NE,20004.00,21533.00,20769.00
Phelps,NE,20004.00,21533.00,20769.00
Pierce,NE,21533.00,36976.00,29255.00
Platte,NE,18752.00,20004.00,19378.00
Polk,NE,18752.00,20004.00,19378.00
Red Willow,NE,18752.00,20004.00,19378.00
Richardson,NE,20004.00,21533.00,20769.00
Rock,NE,20004.00,21533.00,20769.00
Saline,NE,17395.00,18752.00,18074.00
Sarpy,NE,17395.00,18752.00,18074.00
Saunders,NE,20004.00,21533.00,20769.00
Scotts Bluff,NE,18752.00,20004.00,19378.00
Seward,NE,18752.00,20004.00,19378.00
Sheridan,NE,20004.00,21533.00,20769.00
Sherman,NE,21533.00,36976.00,29255.00
Sioux,NE,17395.00,18752.00,18074.00
Stanton,NE,5293.00,17395.00,11344.00
Thayer,NE,21533.00,36976.00,29255.00
Thomas,NE,5293.00,17395.00,11344.00
Thurston,NE,21533.00,36976.00,29255.00
Valley,NE,18752.00,20004.00,19378.00
Washington,NE,17395.00,18752.00,18074.00
Wayne,NE,21533.00,36976.00,29255.00
Webster,NE,20004.00,21533.00,20769.00
Wheeler,NE,5293.00,17395.00,11344.00
York,NE,5293.00,17395.00,11344.00
Bernalillo,NM,17395.00,18752.00,18074.00
Chaves,NM,18752.00,20004.00,19378.00
Colfax,NM,5293.00,17395.00,11344.00
Curry,NM,17395.00,18752.00,18074.00
De Baca,NM,5293.00,17395.00,11344.00
Eddy,NM,18752.00,20004.00,19378.00
Guadalupe,NM,5293.00,17395.00,11344.00
Harding,NM,5293.00,17395.00,11344.00
Lea,NM,20004.00,21533.00,20769.00
Lincoln,NM,17395.00,18752.00,18074.00
Los Alamos,NM,5293.00,17395.00,11344.00
Mora,NM,5293.00,17395.00,11344.00
Otero,NM,5293.00,17395.00,11344.00
Quay,NM,17395.00,18752.00,18074.00
Rio Arriba,NM,17395.00,18752.00,18074.00
Roosevelt,NM,18752.00,20004.00,19378.00
San Miguel,NM,17395.00,18752.00,18074.00
Santa Fe,NM,5293.00,17395.00,11344.00
Taos,NM,5293.00,17395.00,11344.00
Torrance,NM,5293.00,17395.00,11344.00
Union,NM,21533.00,36976.00,29255.00
Adair,OK,21533.00,36976.00,29255.00
Alfalfa,OK,18752.00,20004.00,19378.00
Atoka,OK,21533.00,36976.00,29255.00
Beaver,OK,20004.00,21533.00,20769.00
Beckham,OK,17395.00,18752.00,18074.00
Blaine,OK,21533.00,36976.00,29255.00
Bryan,OK,21533.00,36976.00,29255.00
Caddo,OK,21533.00,36976.00,29255.00
Canadian,OK,17395.00,18752.00,18074.00
Carter,OK,20004.00,21533.00,20769.00
Cherokee,OK,21533.00,36976.00,29255.00
Choctaw,OK,21533.00,36976.00,29255.00
Cimarron,OK,21533.00,36976.00,29255.00
Cleveland,OK,18752.00,20004.00,19378.00
Coal,OK,21533.00,36976.00,29255.00
Comanche,OK,17395.00,18752.00,18074.00
Cotton,OK,20004.00,21533.00,20769.00
Craig,OK,20004.00,21533.00,20769.00
Creek,OK,20004.00,21533.00,20769.00
Custer,OK,17395.00,18752.00,18074.00
Delaware,OK,20004.00,21533.00,20769.00
Dewey,OK,20004.00,21533.00,20769.00
Ellis,OK,5293.00,17395.00,11344.00
Garfield,OK,17395.00,18752.00,18074.00
Garvin,OK,20004.00,21533.00,20769.00
Grady,OK,18752.00,20004.00,19378.00
Grant,OK,18752.00,20004.00,19378.00
Greer,OK,20004.00,21533.00,20769.00
Harmon,OK,21533.00,36976.00,29255.00
Harper,OK,5293.00,17395.00,11344.00
Haskell,OK,21533.00,36976.00,29255.00
Hughes,OK,20004.00,21533.00,20769.00
Jackson,OK,20004.00,21533.00,20769.00
Jefferson,OK,21533.00,36976.00,29255.00
Johnston,OK,21533.00,36976.00,29255.00
Kay,OK,18752.00,20004.00,19378.00
Kingfisher,OK,21533.00,36976.00,29255.00
Kiowa,OK,17395.00,18752.00,18074.00
Latimer,OK,21533.00,36976.00,29255.00
Le Flore,OK,21533.00,36976.00,29255.00
Lincoln,OK,20004.00,21533.00,20769.00
Logan,OK,18752.00,20004.00,19378.00
Love,OK,21533.00,36976.00,29255.00
McClain,OK,18752.00,20004.00,19378.00
McCurtain,OK,20004.00,21533.00,20769.00
McIntosh,OK,18752.00,20004.00,19378.00
Major,OK,17395.00,18752.00,18074.00
Marshall,OK,21533.00,36976.00,29255.00
Mayes,OK,21533.00,36976.00,29255.00
Murray,OK,21533.00,36976.00,29255.00
Muskogee,OK,21533.00,36976.00,29255.00
Noble,OK,5293.00,17395.00,11344.00
Nowata,OK,21533.00,36976.00,29255.00
Okfuskee,OK,18752.00,20004.00,19378.00
Oklahoma,OK,18752.00,20004.00,19378.00
Okmulgee,OK,21533.00,36976.00,29255.00
Osage,OK,21533.00,36976.00,29255.00
Ottawa,OK,18752.00,20004.00,19378.00
Pawnee,OK,21533.00,36976.00,29255.00
Payne,OK,18752.00,20004.00,19378.00
Pittsburg,OK,18752.00,20004.00,19378.00
Pontotoc,OK,18752.00,20004.00,19378.00
Pottawatomie,OK,20004.00,21533.00,20769.00
