FIPS Code,Name,State,Value,LowRange($),HighRange($),Average($)
37087,Haywood,(NC),18508,"17,395","18,752","18,074"
37089,Henderson,(NC),18574,"17,395","18,752","18,074"
37097,Iredell,(NC),18986,"18,752","20,004","19,378"
37099,Jackson,(NC),18939,"18,752","20,004","19,378"
37109,Lincoln,(NC),19002,"18,752","20,004","19,378"
37111,McDowell,(NC),19232,"18,752","20,004","19,378"
37113,Macon,(NC),18273,"17,395","18,752","18,074"
37115,Madison,(NC),17917,"17,395","18,752","18,074"
37119,Mecklenburg,(NC),18801,"18,752","20,004","19,378"
37121,Mitchell,(NC),19443,"18,752","20,004","19,378"
37149,Polk,(NC),18176,"17,395","18,752","18,074"
37161,Rutherford,(NC),18300,"17,395","18,752","18,074"
37171,Surry,(NC),18880,"18,752","20,004","19,378"
37173,Swain,(NC),22509,"21,533","36,976","29,255"
37175,Transylvania,(NC),17949,"17,395","18,752","18,074"
37189,Watauga,(NC),16763,"5,293","17,395","11,344"
37193,Wilkes,(NC),17626,"17,395","18,752","18,074"
37197,Yadkin,(NC),18652,"17,395","18,752","18,074"
37199,Yancey,(NC),17857,"17,395","18,752","18,074"
45001,Abbeville,(SC),17050,"5,293","17,395","11,344"
45003,Aiken,(SC),18390,"17,395","18,752","18,074"
45005,Allendale,(SC),24110,"21,533","36,976","29,255"
45007,Anderson,(SC),18059,"17,395","18,752","18,074"
45009,Bamberg,(SC),18764,"18,752","20,004","19,378"
45011,Barnwell,(SC),17676,"17,395","18,752","18,074"
45013,Beaufort,(SC),16055,"5,293","17,395","11,344"
