FIPS Code,Name,State,Value,LowRange($),HighRange($),Average($)
29001,Adair,(MO),17926,"17,395","18,752","18,074"
29007,Audrain,(MO),16193,"5,293","17,395","11,344"
29019,Boone,(MO),17836,"17,395","18,752","18,074"
29027,Callaway,(MO),16648,"5,293","17,395","11,344"
29033,Carroll,(MO),24012,"21,533","36,976","29,255"
29041,Chariton,(MO),17243,"5,293","17,395","11,344"
29045,Clark,(MO),18591,"17,395","18,752","18,074"
29051,Cole,(MO),16944,"5,293","17,395","11,344"
29053,Cooper,(MO),17289,"5,293","17,395","11,344"
29071,Franklin,(MO),18703,"17,395","18,752","18,074"
29073,Gasconade,(MO),17926,"17,395","18,752","18,074"
29079,Grundy,(MO),23122,"21,533","36,976","29,255"
29089,Howard,(MO),16813,"5,293","17,395","11,344"
29103,Knox,(MO),16360,"5,293","17,395","11,344"
29111,Lewis,(MO),21112,"20,004","21,533","20,769"
29113,Lincoln,(MO),21483,"20,004","21,533","20,769"
29115,Linn,(MO),20210,"20,004","21,533","20,769"
29117,Livingston,(MO),22107,"21,533","36,976","29,255"
29121,Macon,(MO),18134,"17,395","18,752","18,074"
29127,Marion,(MO),17303,"5,293","17,395","11,344"
29129,Mercer,(MO),21012,"20,004","21,533","20,769"
29135,Moniteau,(MO),17089,"5,293","17,395","11,344"
29137,Monroe,(MO),17045,"5,293","17,395","11,344"
29139,Montgomery,(MO),17173,"5,293","17,395","11,344"
29141,Morgan,(MO),17033,"5,293","17,395","11,344"
29151,Osage,(MO),16706,"5,293","17,395","11,344"
29159,Pettis,(MO),18299,"17,395","18,752","18,074"
29163,Pike,(MO),19264,"18,752","20,004","19,378"
29171,Putnam,(MO),22228,"21,533","36,976","29,255"
29173,Ralls,(MO),16578,"5,293","17,395","11,344"
29175,Randolph,(MO),19261,"18,752","20,004","19,378"
29183,St. Charles,(MO),19707,"18,752","20,004","19,378"
29189,St. Louis County,(MO),20016,"20,004","21,533","20,769"
29195,Saline,(MO),17867,"17,395","18,752","18,074"
29197,Schuyler,(MO),17670,"17,395","18,752","18,074"
29199,Scotland,(MO),30632,"21,533","36,976","29,255"
29205,Shelby,(MO),17631,"17,395","18,752","18,074"
29211,Sullivan,(MO),22299,"21,533","36,976","29,255"
29219,Warren,(MO),20342,"20,004","21,533","20,769"
29510,St. Louis City,(MO),25033,"21,533","36,976","29,255"
55001,Adams,(WI),16385,"5,293","17,395","11,344"
55009,Brown,(WI),16263,"5,293","17,395","11,344"
55011,Buffalo,(WI),16480,"5,293","17,395","11,344"
55015,Calumet,(WI),15373,"5,293","17,395","11,344"
55021,Columbia,(WI),16105,"5,293","17,395","11,344"
55023,Crawford,(WI),18523,"17,395","18,752","18,074"
55025,Dane,(WI),16880,"5,293","17,395","11,344"
55027,Dodge,(WI),16138,"5,293","17,395","11,344"
55039,Fond du Lac,(WI),18278,"17,395","18,752","18,074"
55043,Grant,(WI),17890,"17,395","18,752","18,074"
55045,Green,(WI),17160,"5,293","17,395","11,344"
55047,Green Lake,(WI),18204,"17,395","18,752","18,074"
55049,Iowa,(WI),18027,"17,395","18,752","18,074"
55053,Jackson,(WI),19937,"18,752","20,004","19,378"
55055,Jefferson,(WI),16753,"5,293","17,395","11,344"
55057,Juneau,(WI),16768,"5,293","17,395","11,344"
55059,Kenosha,(WI),19431,"18,752","20,004","19,378"
55061,Kewaunee,(WI),15122,"5,293","17,395","11,344"
55063,La Crosse,(WI),15905,"5,293","17,395","11,344"
55065,Lafayette,(WI),19603,"18,752","20,004","19,378"
55071,Manitowoc,(WI),17033,"5,293","17,395","11,344"
55077,Marquette,(WI),17357,"5,293","17,395","11,344"
55079,Milwaukee,(WI),21730,"21,533","36,976","29,255"
55081,Monroe,(WI),18824,"18,752","20,004","19,378"
55087,Outagamie,(WI),15140,"5,293","17,395","11,344"
55089,Ozaukee,(WI),16972,"5,293","17,395","11,344"
55091,Pepin,(WI),19517,"18,752","20,004","19,378"
55097,Portage,(WI),17347,"5,293","17,395","11,344"
55101,Racine,(WI),20469,"20,004","21,533","20,769"
55103,Richland,(WI),17572,"17,395","18,752","18,074"
55105,Rock,(WI),19881,"18,752","20,004","19,378"
55111,Sauk,(WI),17336,"5,293","17,395","11,344"
55117,Sheboygan,(WI),15954,"5,293","17,395","11,344"
55121,Trempealeau,(WI),18609,"17,395","18,752","18,074"
55123,Vernon,(WI),17773,"17,395","18,752","18,074"
55127,Walworth,(WI),17664,"17,395","18,752","18,074"
55131,Washington,(WI),18460,"17,395","18,752","18,074"
55133,Waukesha,(WI),17792,"17,395","18,752","18,074"
55135,Waupaca,(WI),15799,"5,293","17,395","11,344"
55137,Waushara,(WI),17795,"17,395","18,752","18,074"
55139,Winnebago,(WI),16436,"5,293","17,395","11,344"
55141,Wood,(WI),16824,"5,293","17,395","11,344"
1001,Autauga,(AL),20363,"20,004","21,533","20,769"
1009,Blount,(AL),20348,"20,004","21,533","20,769"
1015,Calhoun,(AL),20763,"20,004","21,533","20,769"
1017,Chambers,(AL),16647,"5,293","17,395","11,344"
1019,Cherokee,(AL),18669,"17,395","18,752","18,074"
1021,Chilton,(AL),20095,"20,004","21,533","20,769"
1027,Clay,(AL),20532,"20,004","21,533","20,769"
1029,Cleburne,(AL),20798,"20,004","21,533","20,769"
1037,Coosa,(AL),18204,"17,395","18,752","18,074"
1043,Cullman,(AL),18971,"18,752","20,004","19,378"
1047,Dallas,(AL),20406,"20,004","21,533","20,769"
1049,DeKalb,(AL),17728,"17,395","18,752","18,074"
1051,Elmore,(AL),19197,"18,752","20,004","19,378"
1055,Etowah,(AL),24421,"21,533","36,976","29,255"
1071,Jackson,(AL),19509,"18,752","20,004","19,378"
1073,Jefferson,(AL),21201,"20,004","21,533","20,769"
1081,Lee,(AL),17221,"5,293","17,395","11,344"
1083,Limestone,(AL),18958,"18,752","20,004","19,378"
1085,Lowndes,(AL),17911,"17,395","18,752","18,074"
1087,Macon,(AL),18296,"17,395","18,752","18,074"
1089,Madison,(AL),18872,"18,752","20,004","19,378"
1095,Marshall,(AL),19498,"18,752","20,004","19,378"
1101,Montgomery,(AL),21139,"20,004","21,533","20,769"
1103,Morgan,(AL),18970,"18,752","20,004","19,378"
1111,Randolph,(AL),18384,"17,395","18,752","18,074"
1113,Russell,(AL),19402,"18,752","20,004","19,378"
1115,St. Clair,(AL),20235,"20,004","21,533","20,769"
1117,Shelby,(AL),18730,"17,395","18,752","18,074"
1121,Talladega,(AL),20495,"20,004","21,533","20,769"
1123,Tallapoosa,(AL),18511,"17,395","18,752","18,074"
13015,Bartow,(GA),20168,"20,004","21,533","20,769"
13035,Butts,(GA),21607,"21,533","36,976","29,255"
13045,Carroll,(GA),19497,"18,752","20,004","19,378"
13047,Catoosa,(GA),19368,"18,752","20,004","19,378"
13053,Chattahoochee,(GA),18883,"18,752","20,004","19,378"
13055,Chattooga,(GA),19116,"18,752","20,004","19,378"
13057,Cherokee,(GA),18507,"17,395","18,752","18,074"
13063,Clayton,(GA),24219,"21,533","36,976","29,255"
13067,Cobb,(GA),18421,"17,395","18,752","18,074"
13077,Coweta,(GA),19261,"18,752","20,004","19,378"
13079,Crawford,(GA),21746,"21,533","36,976","29,255"
13083,Dade,(GA),18276,"17,395","18,752","18,074"
13085,Dawson,(GA),18440,"17,395","18,752","18,074"
13089,DeKalb,(GA),20809,"20,004","21,533","20,769"
13097,Douglas,(GA),21755,"21,533","36,976","29,255"
13111,Fannin,(GA),17054,"5,293","17,395","11,344"
13113,Fayette,(GA),16354,"5,293","17,395","11,344"
13115,Floyd,(GA),20081,"20,004","21,533","20,769"
13117,Forsyth,(GA),18217,"17,395","18,752","18,074"
13121,Fulton,(GA),20325,"20,004","21,533","20,769"
13123,Gilmer,(GA),17698,"17,395","18,752","18,074"
13129,Gordon,(GA),18758,"18,752","20,004","19,378"
13135,Gwinnett,(GA),19453,"18,752","20,004","19,378"
13143,Haralson,(GA),20409,"20,004","21,533","20,769"
13145,Harris,(GA),17481,"17,395","18,752","18,074"
13149,Heard,(GA),19652,"18,752","20,004","19,378"
13151,Henry,(GA),20028,"20,004","21,533","20,769"
13171,Lamar,(GA),16934,"5,293","17,395","11,344"
13187,Lumpkin,(GA),20400,"20,004","21,533","20,769"
13193,Macon,(GA),22198,"21,533","36,976","29,255"
13197,Marion,(GA),15606,"5,293","17,395","11,344"
13199,Meriwether,(GA),23000,"21,533","36,976","29,255"
13207,Monroe,(GA),19373,"18,752","20,004","19,378"
13213,Murray,(GA),18855,"18,752","20,004","19,378"
13215,Muscogee,(GA),20199,"20,004","21,533","20,769"
13223,Paulding,(GA),19305,"18,752","20,004","19,378"
13227,Pickens,(GA),17485,"17,395","18,752","18,074"
13231,Pike,(GA),20519,"20,004","21,533","20,769"
13233,Polk,(GA),20228,"20,004","21,533","20,769"
13247,Rockdale,(GA),20550,"20,004","21,533","20,769"
13249,Schley,(GA),16245,"5,293","17,395","11,344"
13255,Spalding,(GA),19413,"18,752","20,004","19,378"
13263,Talbot,(GA),16635,"5,293","17,395","11,344"
13269,Taylor,(GA),22334,"21,533","36,976","29,255"
13285,Troup,(GA),20450,"20,004","21,533","20,769"
13291,Union,(GA),14740,"5,293","17,395","11,344"
13293,Upson,(GA),18878,"18,752","20,004","19,378"
13295,Walker,(GA),19213,"18,752","20,004","19,378"
13313,Whitfield,(GA),18510,"17,395","18,752","18,074"
18025,Crawford,(IN),19840,"18,752","20,004","19,378"
18037,Dubois,(IN),17649,"17,395","18,752","18,074"
18043,Floyd,(IN),21095,"20,004","21,533","20,769"
18061,Harrison,(IN),22205,"21,533","36,976","29,255"
18123,Perry,(IN),22848,"21,533","36,976","29,255"
18147,Spencer,(IN),18348,"17,395","18,752","18,074"
21001,Adair,(KY),22514,"21,533","36,976","29,255"
21003,Allen,(KY),23213,"21,533","36,976","29,255"
21005,Anderson,(KY),20165,"20,004","21,533","20,769"
21009,Barren,(KY),19759,"18,752","20,004","19,378"
21017,Bourbon,(KY),16858,"5,293","17,395","11,344"
21021,Boyle,(KY),19241,"18,752","20,004","19,378"
21027,Breckinridge,(KY),19468,"18,752","20,004","19,378"
21029,Bullitt,(KY),20485,"20,004","21,533","20,769"
21031,Butler,(KY),19674,"18,752","20,004","19,378"
21045,Casey,(KY),24381,"21,533","36,976","29,255"
21049,Clark,(KY),18504,"17,395","18,752","18,074"
21053,Clinton,(KY),23723,"21,533","36,976","29,255"
21057,Cumberland,(KY),22733,"21,533","36,976","29,255"
21059,Daviess,(KY),18427,"17,395","18,752","18,074"
21061,Edmonson,(KY),22101,"21,533","36,976","29,255"
21065,Estill,(KY),20474,"20,004","21,533","20,769"
21067,Fayette,(KY),20298,"20,004","21,533","20,769"
21073,Franklin,(KY),28592,"21,533","36,976","29,255"
21079,Garrard,(KY),19647,"18,752","20,004","19,378"
21085,Grayson,(KY),19276,"18,752","20,004","19,378"
21087,Green,(KY),25545,"21,533","36,976","29,255"
21091,Hancock,(KY),16974,"5,293","17,395","11,344"
21093,Hardin,(KY),19199,"18,752","20,004","19,378"
21099,Hart,(KY),20398,"20,004","21,533","20,769"
21109,Jackson,(KY),19119,"18,752","20,004","19,378"
21111,Jefferson,(KY),20550,"20,004","21,533","20,769"
21113,Jessamine,(KY),20212,"20,004","21,533","20,769"
21123,Larue,(KY),20814,"20,004","21,533","20,769"
21125,Laurel,(KY),19112,"18,752","20,004","19,378"
21137,Lincoln,(KY),21106,"20,004","21,533","20,769"
21141,Logan,(KY),19654,"18,752","20,004","19,378"
21147,McCreary,(KY),20792,"20,004","21,533","20,769"
21151,Madison,(KY),18820,"18,752","20,004","19,378"
